数据集,模型,缺失率,预测长度,mse,mae
ETTh1,DUET,80,336,2.619245767593384,1.1634740829467773
ETTh1,DUET,80,336,2.619245767593384,1.1634740829467773
ETTh1,DUET,80,720,4.195545673370361,1.547203540802002
ETTh1,DUET,80,720,4.195545673370361,1.547203540802002
ETTh1,SEED,0,96,0.4441305100917816,0.4532774090766907
ETTh1,SEED,0,192,0.4975639879703522,0.4907137453556061
ETTh1,SEED,0,336,0.5398546457290649,0.5248802304267883
ETTh1,SEED,0,720,0.6898612976074219,0.6170679926872253
ETTh1,SEED,5,96,0.46045631170272827,0.4645060896873474
ETTh1,SEED,5,192,0.5105399489402771,0.49825388193130493
ETTh1,SEED,5,336,0.5562089681625366,0.528907060623169
ETTh1,SEED,5,720,0.7021166682243347,0.6165804266929626
ETTh1,SEED,10,96,0.46438923478126526,0.46937915682792664
ETTh1,SEED,10,192,0.516285240650177,0.5022128224372864
ETTh1,SEED,10,336,0.56232750415802,0.5298374891281128
ETTh1,SEED,10,720,0.7198818325996399,0.6221075057983398
ETTh1,SEED,20,96,0.5067839026451111,0.49408844113349915
ETTh1,SEED,20,192,0.5567985773086548,0.5218896865844727
ETTh1,SEED,20,336,0.5878148078918457,0.5383758544921875
ETTh1,SEED,20,720,0.7639919519424438,0.6307375431060791
ETTh1,SEED,30,96,0.581842839717865,0.5310825109481812
ETTh1,SEED,30,192,0.6218774318695068,0.5523757338523865
ETTh1,SEED,30,336,0.6140691637992859,0.5475753545761108
ETTh1,SEED,30,720,0.7630161046981812,0.6330475211143494
ETTh1,SEED,50,96,0.8026738166809082,0.6342026591300964
ETTh1,SEED,50,192,0.8584666848182678,0.6538020968437195
ETTh1,SEED,50,336,0.779539167881012,0.6164481043815613
ETTh1,SEED,50,720,0.977462112903595,0.7115135192871094
ETTh1,SEED,80,96,2.458449363708496,1.0856246948242188
ETTh1,SEED,80,192,2.588168144226074,1.1152088642120361
ETTh1,SEED,80,336,2.2776260375976562,1.0437238216400146
ETTh1,SEED,80,720,2.787815570831299,1.1743433475494385
ETTh1,TQNet,0,96,0.4265294075012207,0.44624224305152893
ETTh1,TQNet,0,192,0.4853229522705078,0.4893737733364105
ETTh1,TQNet,0,336,0.5413034558296204,0.5251522660255432
ETTh1,TQNet,0,720,0.6993063688278198,0.6149313449859619
ETTh1,TQNet,5,96,0.4383881390094757,0.4552692174911499
ETTh1,TQNet,5,192,0.49536100029945374,0.49411964416503906
ETTh1,TQNet,5,336,0.5525130033493042,0.5275934338569641
ETTh1,TQNet,5,720,0.7048805356025696,0.6197382807731628
ETTh1,TQNet,10,96,0.43656474351882935,0.4558986723423004
ETTh1,TQNet,10,192,0.49399933218955994,0.4949725866317749
ETTh1,TQNet,10,336,0.5480446219444275,0.5281162858009338
ETTh1,TQNet,10,720,0.6916375756263733,0.6137656569480896
ETTh1,TQNet,20,96,0.46927011013031006,0.47729793190956116
ETTh1,TQNet,20,192,0.5268178582191467,0.5104531049728394
ETTh1,TQNet,20,336,0.5811892747879028,0.5421637892723083
ETTh1,TQNet,20,720,0.7244277000427246,0.6239681839942932
ETTh1,TQNet,30,96,0.5274336934089661,0.5027704834938049
ETTh1,TQNet,30,192,0.5795608758926392,0.5327853560447693
ETTh1,TQNet,30,336,0.6408080458641052,0.5664690136909485
ETTh1,TQNet,30,720,0.7720665335655212,0.6405977606773376
