2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:14:36,317 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.3009
2026-05-01 21:14:36,329 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2951
2026-05-01 21:14:36,339 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2892
2026-05-01 21:14:36,349 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2946
2026-05-01 21:14:36,361 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2909
2026-05-01 21:14:36,370 - INFO - Y_seasonal mean abs: 0.3887, output mean abs: 0.2994
2026-05-01 21:14:37,037 - INFO - Epoch: 1, Steps: 46 | Train Loss: 0.6989348 Vali Loss: 0.5079984 Test Loss: 0.7270423
2026-05-01 21:14:37,037 - INFO - Validation loss decreased (inf --> 0.507998).  Saving model ...
2026-05-01 21:14:37,043 - INFO - Updating learning rate to 0.001
2026-05-01 21:14:58,355 - INFO - Y_seasonal mean abs: 0.4325, output mean abs: 0.4073
2026-05-01 21:14:58,644 - INFO - Y_seasonal mean abs: 0.5493, output mean abs: 0.4386
2026-05-01 21:14:58,666 - INFO - Y_seasonal mean abs: 0.6816, output mean abs: 0.4850
2026-05-01 21:14:58,688 - INFO - Y_seasonal mean abs: 0.8144, output mean abs: 0.5483
2026-05-01 21:14:58,712 - INFO - Y_seasonal mean abs: 0.9469, output mean abs: 0.6260
2026-05-01 21:14:58,737 - INFO - Y_seasonal mean abs: 1.0656, output mean abs: 0.6648
2026-05-01 21:14:58,760 - INFO - Y_seasonal mean abs: 1.1734, output mean abs: 0.7084
2026-05-01 21:14:58,783 - INFO - Y_seasonal mean abs: 1.2640, output mean abs: 0.7096
2026-05-01 21:14:58,805 - INFO - Y_seasonal mean abs: 1.3506, output mean abs: 0.6813
2026-05-01 21:14:58,829 - INFO - Y_seasonal mean abs: 1.4255, output mean abs: 0.6640
2026-05-01 21:14:58,850 - INFO - Y_seasonal mean abs: 1.4849, output mean abs: 0.6301
2026-05-01 21:14:58,871 - INFO - Y_seasonal mean abs: 1.5375, output mean abs: 0.5948
